region,postcode_sector,year,avg_price,volume
East England,PE1 1,2023,121000,26
East England,PE1 2,2023,103000,105
East England,PE1 3,2023,110000,175
East England,PE1 4,2023,124000,178
East England,PE1 5,2023,112000,130
East England,PE10 0,2023,191000,230
East England,PE10 2,2023,290000,9
East England,PE10 9,2023,156000,246
East England,PE11 1,2023,125000,204
East England,PE11 2,2023,137000,200
East England,PE11 3,2023,150000,292
East England,PE11 4,2023,161000,156
East England,PE11 5,2023,339000,6
East England,PE12 0,2023,183000,102
East England,PE12 6,2023,169000,192
East England,PE12 7,2023,123000,168
East England,PE12 8,2023,150000,69
East England,PE12 9,2023,133000,183
East England,PE13 1,2023,113000,44
East England,PE13 2,2023,121000,145
East England,PE13 3,2023,108000,149
East England,PE13 4,2023,179000,115
East England,PE13 5,2023,167000,110
East England,PE14 0,2023,163000,91
East England,PE14 7,2023,188000,86
East England,PE14 8,2023,166000,86
East England,PE14 9,2023,159000,46
East England,PE15 0,2023,177000,154
East England,PE15 8,2023,122000,243
East England,PE15 9,2023,131000,167
East England,PE16 6,2023,149000,264
East England,PE17 5,2023,60000,1
East England,PE19 0,2023,426000,17
East England,PE19 1,2023,192000,135
East England,PE19 2,2023,174000,182
East England,PE19 5,2023,245000,91
East England,PE19 6,2023,254000,163
East England,PE19 7,2023,197000,93
East England,PE19 8,2023,179000,140
East England,PE2 5,2023,116000,235
East England,PE2 6,2023,190000,67
East England,PE2 7,2023,225000,61
East England,PE2 8,2023,141000,297
East England,PE2 9,2023,128000,213
East England,PE20 1,2023,158000,110
East England,PE20 2,2023,145000,45
East England,PE20 3,2023,144000,83
East England,PE21 0,2023,110000,165
East England,PE21 6,2023,86000,43
East England,PE21 7,2023,142000,144
East England,PE21 8,2023,97000,179
East England,PE21 9,2023,118000,149
East England,PE22 0,2023,139000,83
East England,PE22 7,2023,158000,47
East England,PE22 8,2023,130000,49
East England,PE22 9,2023,145000,57
East England,PE23 4,2023,182000,40
East England,PE23 5,2023,137000,90
East England,PE24 4,2023,131000,63
East England,PE24 5,2023,120000,135
East England,PE25 1,2023,131000,121
East England,PE25 2,2023,109000,126
East England,PE25 3,2023,149000,103
East England,PE26 1,2023,147000,93
East England,PE26 2,2023,194000,116
East England,PE27 3,2023,150000,165
East England,PE27 4,2023,212000,37
East England,PE27 5,2023,185000,113
East England,PE27 6,2023,195000,91
East England,PE28 0,2023,281000,83
East England,PE28 2,2023,200000,164
East England,PE28 3,2023,196000,150
East England,PE28 4,2023,250000,172
East England,PE28 5,2023,199000,119
East England,PE28 9,2023,265000,101
East England,PE29 1,2023,172000,181
East England,PE29 2,2023,232000,137
East England,PE29 3,2023,149000,57
East England,PE29 6,2023,184000,122
East England,PE29 7,2023,128000,40
East England,PE3 6,2023,186000,94
East England,PE3 7,2023,89000,60
East England,PE3 8,2023,117000,87
East England,PE3 9,2023,152000,114
East England,PE30 0,2023,250000,1
East England,PE30 1,2023,114000,42
East England,PE30 2,2023,90000,93
East England,PE30 3,2023,169000,222
East England,PE30 4,2023,122000,188
East England,PE30 5,2023,104000,128
East England,PE31 6,2023,197000,150
East England,PE31 7,2023,169000,171
East England,PE31 8,2023,338000,111
East England,PE32 1,2023,203000,112
East England,PE32 2,2023,204000,88
East England,PE33 0,2023,166000,108
East England,PE33 9,2023,174000,97
East England,PE34 3,2023,170000,77
East England,PE34 4,2023,179000,101
East England,PE36 5,2023,182000,108
East England,PE36 6,2023,301000,70
East England,PE37 7,2023,156000,115
East England,PE37 8,2023,218000,81
East England,PE38 0,2023,192000,59
East England,PE38 9,2023,165000,221
East England,PE4 5,2023,122000,118
East England,PE4 6,2023,130000,161
East England,PE4 7,2023,124000,193
East England,PE5 7,2023,278000,20
East England,PE6 0,2023,173000,124
East England,PE6 7,2023,205000,137
East England,PE6 8,2023,173000,262
East England,PE6 9,2023,228000,128
East England,PE7 0,2023,168000,18
East England,PE7 1,2023,140000,244
East England,PE7 2,2023,176000,68
