year,region,property_type,avg_price,volume
2020,East England,D,229000,6855
2020,East England,F,107000,1034
2020,East England,S,150000,4369
2020,East England,T,129000,3653
2020,East Midlands,D,230000,25222
2020,East Midlands,F,113000,4904
2020,East Midlands,S,131000,28398
2020,East Midlands,T,104000,21610
2020,East of England,D,358000,24758
2020,East of England,F,158000,13135
2020,East of England,S,230000,22491
2020,East of England,T,194000,22249
2020,Greater London,D,715000,9478
2020,Greater London,F,349000,63495
2020,Greater London,S,406000,22282
2020,Greater London,T,406000,37395
2020,North East,D,252000,17092
2020,North East,F,113000,8944
2020,North East,S,140000,25446
2020,North East,T,107000,27039
2020,North West,D,264000,24203
2020,North West,F,131000,13671
2020,North West,S,147000,41638
2020,North West,T,102000,45696
2020,South East,D,427000,35368
2020,South East,F,169000,27606
2020,South East,S,252000,33780
2020,South East,T,208000,35732
2020,South West,D,325000,29561
2020,South West,F,160000,16991
2020,South West,S,205000,22835
2020,South West,T,176000,28920
2020,Wales,D,229000,12963
2020,Wales,F,122000,3294
2020,Wales,S,138000,12409
2020,Wales,T,109000,14951
2020,West Midlands,D,279000,21952
2020,West Midlands,F,121000,9247
2020,West Midlands,S,156000,28579
2020,West Midlands,T,126000,25754
2021,East England,D,206000,9801
2021,East England,F,95000,1471
2021,East England,S,136000,6361
2021,East England,T,117000,5380
2021,East Midlands,D,211000,35611
2021,East Midlands,F,111000,6736
2021,East Midlands,S,118000,40739
2021,East Midlands,T,95000,31426
2021,East of England,D,322000,35037
2021,East of England,F,144000,18120
2021,East of England,S,205000,32989
2021,East of England,T,172000,32211
2021,Greater London,D,619000,13743
2021,Greater London,F,305000,90667
2021,Greater London,S,356000,32871
2021,Greater London,T,350000,56003
2021,North East,D,229000,24084
2021,North East,F,107000,12293
2021,North East,S,128000,36584
2021,North East,T,98000,39038
2021,North West,D,242000,34725
2021,North West,F,125000,19058
2021,North West,S,134000,60061
2021,North West,T,91000,66474
2021,South East,D,383000,50214
2021,South East,F,153000,38927
2021,South East,S,224000,48745
2021,South East,T,186000,51414
2021,South West,D,295000,41697
2021,South West,F,146000,23461
2021,South West,S,184000,33387
2021,South West,T,158000,41589
2021,Wales,D,208000,18172
